feature_type,z,omega,omega_model,sigma,variance_model,sigma_err,sigma_err_plus,sigma_err_minus,phase,chi2,chi2_red,n_signal_pairs,n_variance_pairs,k_min,k_max
linear,5.0,0.4,2.51188643150958,2.6881443063701016,log_poly3,0.002754435267380728,0.0027541122519934014,0.002754758282768055,0.0,6209.138504093838,9.887163223079359,1,4,0.049848472848211554,0.5967092612435556
linear,4.0,0.4,2.51188643150958,3.222736631072713,log_poly3,0.0032146350401918156,0.003214708802779409,0.003214561277604222,0.0,7080.19952106403,11.274203059019156,1,4,0.049848472848211554,0.5967092612435556
linear,3.0,0.4,2.51188643150958,4.017223886461446,log_poly3,0.004020463484276426,0.00402149788755235,0.004019429081000503,0.0,8074.329473668664,12.857212537688955,1,4,0.049848472848211554,0.5967092612435556
linear,2.0,0.4,2.51188643150958,5.299141865519606,log_poly3,0.006471252356437418,0.006476455600136433,0.0064660491127384034,0.0,8422.146063430082,13.411060610557456,1,4,0.049848472848211554,0.5967092612435556
linear,1.0,0.4,2.51188643150958,7.619757896028205,log_poly3,0.015237063984734789,0.015262256413965503,0.015211871555504075,0.0,10176.596883499942,16.204772107483983,1,4,0.049848472848211554,0.5967092612435556
linear,0.0,0.4,2.51188643150958,12.186985938400163,log_poly3,0.05393296099314426,0.05409462088928052,0.053771301097008006,0.0,15954.30320905399,25.404941415691066,1,4,0.049848472848211554,0.5967092612435556
linear,5.0,0.8,6.309573444801933,2.934882907460761,log_poly3,0.0027448360730710775,0.002744679333413824,0.0027449928127283307,0.0,999.7712219140199,1.5919923915828342,1,4,0.049848472848211554,0.5967092612435556
linear,4.0,0.8,6.309573444801933,3.511421526682126,log_poly3,0.0032821793238937413,0.003282487409125956,0.0032818712386615267,0.0,1024.3490503916955,1.6311290611332732,1,4,0.049848472848211554,0.5967092612435556
linear,3.0,0.8,6.309573444801933,4.363134965501552,log_poly3,0.004264402526020561,0.004265850557415796,0.004262954494625326,0.0,1047.4259979960952,1.6678757929874128,1,4,0.049848472848211554,0.5967092612435556
linear,2.0,0.8,6.309573444801933,5.723095101576343,log_poly3,0.007169255982635292,0.007175091642885434,0.00716342032238515,0.0,994.9929426429751,1.5843836666289413,1,4,0.049848472848211554,0.5967092612435556
linear,1.0,0.8,6.309573444801933,8.141220485462373,log_poly3,0.017150330776990685,0.017180190469602508,0.017120471084378863,0.0,882.9640785384302,1.4059937556344428,1,4,0.049848472848211554,0.5967092612435556
linear,0.0,0.8,6.309573444801933,12.646313022553873,log_poly3,0.05691488521534893,0.0570938919275541,0.056735878503143766,0.0,803.9178719965747,1.2801239999945457,1,4,0.049848472848211554,0.5967092612435556
linear,5.0,0.87,7.413102413009175,3.0053649114305476,log_poly3,0.0027751909943209974,0.0027750763487479624,0.0027753056398940323,0.0,1083.6664240476705,1.7255834777829149,1,4,0.049848472848211554,0.5967092612435556
linear,4.0,0.87,7.413102413009175,3.5926974157757274,log_poly3,0.003330876083107892,0.0033312187094334256,0.0033305334567823586,0.0,1104.6778915611822,1.7590412286006085,1,4,0.049848472848211554,0.5967092612435556
linear,3.0,0.87,7.413102413009175,4.458580994426769,log_poly3,0.004356855328656373,0.0043583860609617275,0.004355324596351018,0.0,1128.4854731775183,1.796951390410061,1,4,0.049848472848211554,0.5967092612435556
linear,2.0,0.87,7.413102413009175,5.835173634579247,log_poly3,0.007359759213603212,0.007365849391163692,0.0073536690360427315,0.0,1086.090421534378,1.7294433463923218,1,4,0.049848472848211554,0.5967092612435556
linear,1.0,0.87,7.413102413009175,8.262817371325752,log_poly3,0.01750611051648132,0.01753565025248882,0.01747657078047382,0.0,905.4165162351122,1.4417460449603698,1,4,0.049848472848211554,0.5967092612435556
linear,0.0,0.87,7.413102413009175,12.771458884114288,log_poly3,0.05797874391001301,0.058164281232180315,0.0577932065878457,0.0,609.2258869804557,0.970104915573974,1,4,0.049848472848211554,0.5967092612435556
linear,5.0,1.0,10.0,3.014093045957991,log_poly3,0.0027588407204413024,0.002758737239768827,0.0027589442011137777,0.0,950.8026044947267,1.5140168861380998,1,4,0.049848472848211554,0.5967092612435556
linear,4.0,1.0,10.0,3.603669806227837,log_poly3,0.003320043572394571,0.003320414738947175,0.003319672405841967,0.0,956.8281872350769,1.5236117631131798,1,4,0.049848472848211554,0.5967092612435556
linear,3.0,1.0,10.0,4.47457639363023,log_poly3,0.004359718054119277,0.004361288416317777,0.004358147691920777,0.0,969.3338282747407,1.5435252042591412,1,4,0.049848472848211554,0.5967092612435556
linear,2.0,1.0,10.0,5.865779475106595,log_poly3,0.0074205341479460785,0.007426797238747618,0.007414271057144539,0.0,960.3698057889866,1.529251283103482,1,4,0.049848472848211554,0.5967092612435556
